Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Damian Jones,LAL,C,68,194.6,289.9,109.3,149.4,283.8,71.2,32.1,55.2,63.2,508.5
DeAndre' Bembry,,SF PF,29,52.2,102.3,15,23.1,69.2,40.1,17.1,7,23.1,126.4
Timothe Luwawu-Cabarrot,PHO,SG SF,29,31.1,78.2,13,15,31.1,15,8,0,8,90.3
Ivica Zubac,LAC,C,77,307.9,488.5,162.5,215.6,643.9,113.3,35.1,80.2,111.3,778.3
Juancho Hernangomez,TOR,PF,29,33.1,79.2,15,25.1,62.2,10,7,0,8,97.3
Malcolm Brogdon,BOS,SG PG,61,360.1,806.4,172.5,197.6,278.8,326,43.1,16,122.4,988
Jake Layman,BOS,SF PF,29,9.1,20.1,3,4,9.1,2,2,3,2,23.1
Caris LeVert,CLE,SG SF,69,403.2,923.8,167.5,219.7,239.7,258.8,62.2,25.1,126.4,1065.2
Georges Niang,PHI,PF,76,182.5,417.2,29.1,33.1,183.5,74.2,25.1,9.1,52.2,508.5
Pascal Siakam,TOR,SF PF C,73,607.8,1300.9,304.9,385.2,592.8,356.1,85.3,46.1,184.6,1611.8
Abdel Nader,,SF,79,94.3,217.7,46.1,63.2,101.3,30.1,16,15,31.1,272.8
Furkan Korkmaz,PHI,SG SF,63,144.4,356.1,51.2,65.2,136.4,80.2,28.1,9.1,38.1,413.2
Gary Payton II,POR,SG PG,71,219.7,426.3,26.1,47.1,292.9,74.2,95.3,27.1,46.1,501.5
Yogi Ferrell,,SG PG,29,25.1,59.2,13,14,17.1,23.1,6,0,6,74.2
Fred VanVleet,TOR,PG,70,446.3,1112.3,222.7,254.8,291.9,447.3,112.3,33.1,163.5,1360.1
Bogdan Bogdanovic,ATL,SG SF,68,371.1,828.5,85.3,101.3,265.8,206.6,73.2,15,82.2,1004
Ryan Arcidiacono,NY,SG PG,29,22.1,53.2,6,9.1,32.1,22.1,7,0,7,65.2
Danuel House Jr.,PHI,SG SF,71,149.4,363.1,62.2,82.2,205.6,80.2,38.1,25.1,48.1,440.3
Tomas Satoransky,,SG PG,76,178.5,405.2,86.3,102.3,197.6,262.8,57.2,9.1,98.3,487.5
Dorian Finney-Smith,DAL,SF PF,78,307.9,656,66.2,91.3,368.1,140.4,80.2,36.1,74.2,847.5
Bryn Forbes,MIN,SG PG,67,178.5,406.2,51.2,61.2,91.3,57.2,23.1,2,44.1,521.6
Chasson Randle,,SG PG,29,39.1,100.3,16,20.1,24.1,36.1,7,0,17.1,114.3
Damion Lee,PHO,SG SF,59,138.4,312.9,57.2,63.2,189.6,62.2,33.1,6,32.1,393.2
Shaquille Harrison,,SF PG,29,37.1,92.3,24.1,29.1,45.1,25.1,18.1,7,10,106.3
Derrick Jones Jr.,CHI,PF C,79,136.4,263.8,65.2,86.3,170.5,44.1,37.1,35.1,30.1,362.1
Alex Caruso,CHI,SG PG,64,149.4,359.1,75.2,104.3,195.6,217.7,88.3,21.1,81.2,434.3
David Nwaba,OKC,SF PF,46,91.3,183.5,46.1,67.2,142.4,35.1,32.1,20.1,23.1,249.7
Hamidou Diallo,DET,SG SF,68,241.7,511.5,96.3,152.5,253.8,75.2,68.2,20.1,76.2,606.8
Lonzo Ball,CHI,SG PG,47,192.6,465.4,31.1,43.1,219.7,227.7,70.2,31.1,102.3,538.6
De'Aaron Fox,SAC,PG,69,605.8,1271.8,341,470.4,264.8,440.3,88.3,28.1,199.6,1649.9
Markelle Fultz,ORL,SG PG,57,292.9,623.9,92.3,118.4,171.5,297.9,63.2,13,133.4,701.1
Dennis Smith Jr.,CHA,SG PG,47,85.3,220.7,36.1,55.2,89.3,134.4,42.1,12,55.2,223.7
Harry Giles III,,PF C,29,24.1,49.1,8,12,41.1,12,6,7,11,56.2
Josh Jackson,,SF PF,29,67.2,160.5,36.1,49.1,63.2,30.1,15,7,23.1,193.6
Jayson Tatum,BOS,SF PF,77,725.2,1597.8,366.1,432.3,600.8,342,78.2,48.1,217.7,2050.1
Jonathan Isaac,ORL,PF,55,180.5,384.1,71.2,90.3,239.7,57.2,54.2,75.2,59.2,469.4
Lauri Markkanen,UTA,SF PF,69,378.1,840.5,156.5,186.6,418.3,88.3,49.1,33.1,73.2,1081.2
Frank Ntilikina,DAL,SG SF,79,94.3,243.7,29.1,38.1,82.2,94.3,37.1,8,39.1,265.8
Malik Monk,SAC,SG PG,79,249.7,558.7,80.2,97.3,151.5,125.4,34.1,15,72.2,671
Zach Collins,SA,PF C,54,171.5,357.1,70.2,90.3,304.9,138.4,30.1,37.1,95.3,444.3
John Collins,ATL,PF C,69,440.3,792.4,165.5,204.6,537.6,110.3,41.1,69.2,80.2,1124.4
Bam Adebayo,MIA,C,70,518.6,923.8,322,429.3,700.1,278.8,90.3,65.2,196.6,1362.1
Jarrett Allen,CLE,C,70,401.2,618.9,224.7,330,719.2,110.3,49.1,92.3,110.3,1027.1
